Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
09-Jan-20,1537.25,1549.8,1531.85,1547.95,1542.177289,258014,16829,397903331,97091,37.63,17.95,10.7
08-Jan-20,1508,1534.45,1508,1513.95,1518.193717,270488,10356,410653182,90878,33.6,26.45,5.95
07-Jan-20,1520,1534,1514.45,1525.05,1522.463507,504240,19393,767686999,283958,56.31,19.55,5.05
06-Jan-20,1527,1528,1497.5,1501.5,1510.219036,453131,18338,684327062,198219,43.74,30.5,-25.5
03-Jan-20,1534.4,1541.3,1523.4,1537.25,1535.087741,354087,10840,543554613,152201,42.98,17.9,2.85
02-Jan-20,1514,1540.8,1513,1535.35,1523.276102,726289,13358,1106338677,144867,19.95,27.8,21.35
01-Jan-20,1516.1,1527.4,1505.35,1509.7,1513.892414,456824,11005,691582388,230445,50.44,22.05,-6.4
31-Dec-19,1544.7,1544.7,1509.1,1514.1,1527.064145,295706,10474,451562030,142598,48.22,35.6,-30.6
30-Dec-19,1543,1547,1528.3,1544.2,1537.756116,371439,11771,571182594,195064,52.52,18.7,1.2
27-Dec-19,1525,1545.8,1521.45,1542.15,1532.595866,485460,16027,744013989,217520,44.81,24.35,17.15
26-Dec-19,1545.95,1553.3,1510.95,1515.95,1534.656346,577183,17878,885777554,203746,35.3,42.35,-30
24-Dec-19,1570.9,1572.15,1542.75,1545.95,1555.902932,232508,10853,361759879,87622,37.69,29.4,-24.95
23-Dec-19,1555,1577,1555,1571,1562.107792,1274110,18294,1990297159,908038,71.27,22,16
20-Dec-19,1611.2,1617.8,1595.65,1599.4,1607.428344,315858,13004,507719102,93709,29.67,22.15,-11.8
19-Dec-19,1574.7,1615,1572.35,1605.15,1601.599317,1024480,13026,1640806468,154898,15.12,42.65,30.45
18-Dec-19,1562.15,1580,1562,1575.7,1569.127183,279220,11780,438131692,145552,52.13,18,13.55
17-Dec-19,1569.8,1579.5,1555.6,1562.15,1563.05892,320894,12649,501576229,144236,44.95,23.9,-7.65
16-Dec-19,1589.3,1593,1563.6,1566.55,1574.049974,281506,9740,443104512,119165,42.33,29.4,-22.75
13-Dec-19,1575,1590,1572.55,1582.45,1579.036988,611627,9401,965781656,122911,20.1,17.45,7.45
12-Dec-19,1567,1573.6,1557.25,1567.5,1567.116694,585429,9350,917435559,92629,15.82,16.35,0.5
11-Dec-19,1557.5,1575.15,1551,1562.6,1564.174841,615737,8366,963120324,105729,17.17,24.15,5.1
10-Dec-19,1571.9,1574.8,1554.25,1562.2,1560.59708,209096,8144,326314607,93999,44.95,20.55,-9.7
09-Dec-19,1554.15,1577.3,1547.65,1572.55,1566.061351,307151,12737,481017310,121253,39.48,29.65,18.4
06-Dec-19,1558,1568.2,1541.4,1554.95,1554.888724,343319,9361,533822842,154476,44.99,26.8,-3.05
05-Dec-19,1579,1579.85,1544,1550.3,1560.871732,378637,13717,591003790,114461,30.23,35.85,-28.7
04-Dec-19,1570.25,1577.05,1533.45,1552.55,1550.988322,558332,15289,865966412,226508,40.57,43.6,-17.7
03-Dec-19,1591,1593.35,1573.1,1578.85,1578.653487,370722,10451,585241578,173733,46.86,20.25,-12.15
02-Dec-19,1595,1614,1577.7,1586.3,1590.501901,692915,19801,1102082625,320621,46.27,36.3,-8.7
29-Nov-19,1582,1582,1548,1550.9,1559.504852,226724,9087,353577178,90930,40.11,34,-31.1
28-Nov-19,1572.5,1584,1564.4,1579.95,1577.600117,273450,11289,431394752,128521,47,19.6,7.45
27-Nov-19,1561,1575,1556.4,1569.75,1564.948431,179080,7672,280250965,76992,42.99,18.6,8.75
26-Nov-19,1569.4,1576,1556,1558.85,1565.797396,334268,13120,523395964,165327,49.46,20,-10.55
25-Nov-19,1551,1564.6,1551,1560.7,1558.926298,260903,15879,406728548,105904,40.59,13.6,9.7
22-Nov-19,1543,1569.6,1537.9,1546.4,1550.284035,475417,16723,737031385,98714,20.76,31.7,3.4
21-Nov-19,1547.5,1556.3,1528.6,1537.25,1537.213181,591358,20290,909043312,221381,37.44,27.7,-10.25
20-Nov-19,1552.55,1571.85,1543.55,1547.05,1560.45759,1140656,34141,1779945313,440443,38.61,28.3,-5.5
19-Nov-19,1467.5,1514.95,1465.5,1509.8,1497.356291,826626,23661,1237753641,308033,37.26,49.45,42.3
18-Nov-19,1471.35,1486,1449.95,1458.5,1466.523144,294198,8955,431448176,112615,38.28,36.05,-12.85
15-Nov-19,1465.25,1486.5,1463.25,1469.3,1478.190602,437787,9141,647132629,256180,58.52,23.25,4.05
14-Nov-19,1475,1481,1456.05,1463.4,1468.114063,348202,6349,511200253,207501,59.59,24.95,-11.6
13-Nov-19,1431,1475,1430,1472,1463.076267,468318,13320,685184951,213242,45.53,45,41
11-Nov-19,1440,1444.05,1423.35,1427.8,1430.555462,257103,7360,367800101,120435,46.84,20.7,-12.2
08-Nov-19,1458.6,1459.6,1441,1445.35,1447.060343,371642,8831,537788400,214990,57.85,18.6,-13.25
07-Nov-19,1438,1462.9,1432.95,1458.8,1447.953507,295528,7713,427910804,177390,60.02,29.95,20.8
06-Nov-19,1445.7,1446.2,1428.7,1432.1,1434.968337,418283,8697,600222861,211827,50.64,17.5,-13.6
05-Nov-19,1458.55,1469,1440.6,1447.6,1450.801111,217549,7328,315620331,69081,31.75,28.4,-10.95
04-Nov-19,1466,1471.15,1445,1457.25,1454.237622,434639,9852,632068386,268623,61.8,26.15,-8.75
01-Nov-19,1459.9,1462.05,1441.1,1457,1451.867891,211205,13572,306641758,57983,27.45,20.95,-2.9
31-Oct-19,1482.25,1489.5,1461,1464.2,1472.041101,235883,8335,347229471,71975,30.51,28.5,-18.05
30-Oct-19,1480.1,1484,1460.4,1478.7,1473.040801,1226942,7766,1807335627,1061706,86.53,23.6,-1.4
29-Oct-19,1442.25,1480.4,1442.25,1467.1,1466.750161,516396,15723,757423916,166718,32.28,38.15,24.85
27-Oct-19,1440,1445.75,1430,1434.1,1437.907734,75033,4205,107890531,28376,37.82,15.75,-5.9
25-Oct-19,1437.5,1440.25,1411.8,1430.7,1426.704736,359803,8727,513332644,100508,27.93,28.45,-6.8
24-Oct-19,1400.05,1441,1386.75,1436.25,1416.718467,433374,14812,613968949,146892,33.89,54.25,36.2
23-Oct-19,1417,1425.5,1383.4,1392.85,1403.669317,307585,9272,431747627,81524,26.5,42.1,-24.15
22-Oct-19,1427.05,1437.65,1404,1414.25,1419.641959,638098,16761,905870695,181704,28.48,33.65,-12.8
18-Oct-19,1403.1,1428,1399.7,1415.3,1416.679464,629451,20580,891730305,185450,29.46,28.3,12.2
17-Oct-19,1378,1399,1372.15,1396.15,1387.126902,282943,10495,392477847,102345,36.17,26.85,18.15
16-Oct-19,1368.3,1379.9,1363.5,1372.7,1372.422131,193229,7405,265191756,70216,36.34,16.4,4.4
15-Oct-19,1363.5,1370,1345,1363.3,1364.033932,197367,6566,269215285,76340,38.68,25,-0.2
14-Oct-19,1363.6,1363.6,1351,1357.65,1358.2785,222880,9270,302733112,89286,40.06,12.6,-5.95
11-Oct-19,1365,1366,1337,1352.4,1352.183444,286839,11135,387858947,69582,24.26,29,-12.6
10-Oct-19,1328,1368,1322.55,1362.4,1357.030772,682081,22000,925604906,272227,39.91,45.45,34.4
09-Oct-19,1311.9,1330,1293.15,1325.75,1310.433867,236137,8136,309441922,60693,25.7,36.85,13.85
07-Oct-19,1310,1320,1301.55,1309.8,1312.028574,192830,7629,252998470,61081,31.68,18.45,-0.2
04-Oct-19,1317.1,1328.5,1304.05,1307.45,1318.929847,247244,9307,326097491,69216,28,24.45,-9.65
03-Oct-19,1290.05,1314.1,1281.2,1311,1306.066844,178536,7640,233179950,35940,20.13,32.9,20.95
